geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
1	325520	Adhesive Manufacturing	168	0.000138437237536868	1.27380609607459	90.5
1	325611	Soap and Other Detergent Manufacturing	208	0.000166620312497239	0.482576189798988	66.42
1	325612	Polish and Other Sanitation Good Manufacturing	181	0.000152021101063463	0.642761932906197	73.28
1	325613	Surface Active Agent Manufacturing	70	2.7466021353604e-05	1.22157789529767	89.55
1	325620	Toilet Preparation Manufacturing	212	0.000328370396897317	0.888211603080184	80.89
1	325910	Printing Ink Manufacturing	146	4.37746885859132e-05	1.20969103045183	89.33
1	325920	Explosives Manufacturing	70	4.08548462991578e-05	-0.444879659072884	32.84
1	325991	Custom Compounding of Purchased Resins	185	9.91484363148897e-05	0.38070702666653	61.99
1	325992	Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing	104	3.52102003066878e-05	0.220610287805754	55.44
1	325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing	405	0.000249551864441486	-0.0879144206498833	45.2
1	326111	Plastics Bag and Pouch Manufacturing	157	0.000226921652611919	0.876792349425993	80.25
1	326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing	133	0.000140760491222793	1.13955201805058	87.12
1	326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing	194	0.000207584150944626	0.590194450484611	71.28
1	326121	Unlaminated Plastics Profile Shape Manufacturing	174	0.000128369804897859	1.13000132210667	86.8
1	326122	Plastics Pipe and Pipe Fitting Manufacturing	253	0.000186445410617134	-0.299773955327727	37.17
1	326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	165	0.000116547025029485	0.990750311131681	83.32
1	326140	Polystyrene Foam Product Manufacturing	194	0.00016841007829973	0.478865050020613	66.21
1	326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing	259	0.000214255617701986	0.652073360254345	73.81
1	326160	Plastics Bottle Manufacturing	196	0.000200230049153623	0.704401629980606	75.61
1	326191	Plastics Plumbing Fixture Manufacturing	132	8.64307735452698e-05	0.787555965094956	78.14
1	326199	All Other Plastics Product Manufacturing	683	0.00172029191263804	-0.512506411233108	30.62
1	326211	Tire Manufacturing (except Retreading)	72	0.000295328566697493	0.362089186241064	60.82
1	326212	Tire Retreading	140	3.73957797001137e-05	0.257836840662768	57.34
1	326220	Rubber and Plastics Hoses and Belting Manufacturing	158	0.000132241894374401	0.432885553044994	63.57
1	326291	Rubber Product Manufacturing for Mechanical Use	174	0.000158256599227909	0.465660539448204	65.79
1	326299	All Other Rubber Product Manufacturing	212	0.000141833203418517	0.144686244730596	52.48
1	327110	Pottery, Ceramics, and Plumbing Fixture Manufacturing	437	9.63375861763629e-05	-0.345435998844778	35.8
1	327120	Clay Building Material and Refractories Manufacturing	257	0.000127377402706094	-0.331055855509679	36.22
1	327211	Flat Glass Manufacturing	77	6.74604033246414e-05	0.888329403936275	80.99
1	327212	Other Pressed and Blown Glass and Glassware Manufacturing	199	6.99672227338989e-05	-0.233685054859094	39.81
1	327213	Glass Container Manufacturing	57	6.49249017711132e-05	0.26925607492857	57.87
1	327215	Glass Product Manufacturing Made of Purchased Glass	333	0.00027094300763856	-0.200249822945991	41.29
1	327310	Cement Manufacturing	171	8.81287564860941e-05	0.371166590085188	61.35
1	327320	Ready-Mix Concrete Manufacturing	1198	0.0006184845497664	-1.36166284639236	9.4
1	327331	Concrete Block and Brick Manufacturing	319	0.000108521761062548	0.579033562310657	70.96
1	327332	Concrete Pipe Manufacturing	150	5.7628164268652e-05	1.18871952526902	88.81
1	327390	Other Concrete Product Manufacturing	539	0.000331083727745324	-0.224072643917174	40.02
1	327410	Lime Manufacturing	71	2.44085047743494e-05	-0.148509058224385	42.34
1	327420	Gypsum Product Manufacturing	114	7.09883070699352e-05	0.363242508609984	60.93
1	327910	Abrasive Product Manufacturing	158	5.7501962833861e-05	1.00385205109789	83.53
1	327991	Cut Stone and Stone Product Manufacturing	611	0.000211060426830232	-0.257133603828394	38.75
1	327992	Ground or Treated Mineral and Earth Manufacturing	117	3.94207390856238e-05	-0.00646695618670294	47.84
1	327993	Mineral Wool Manufacturing	162	0.000101001302834776	0.337006493692377	59.98
1	327999	All Other Miscellaneous Nonmetallic Mineral Product Manufacturing	236	7.42293893725221e-05	-0.142840481105203	42.56
1	331110	Iron and Steel Mills and Ferroalloy Manufacturing	229	0.000493384509315398	-0.341259569823491	36.01
1	331210	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel	203	0.000160258612898002	-0.0108108124000119	47.73
1	331221	Rolled Steel Shape Manufacturing	182	0.000125926086205997	0.40384889690531	62.51
1	331222	Steel Wire Drawing	134	5.96990150849952e-05	0.158056974264251	52.9
1	331313	Alumina Refining and Primary Aluminum Production	62	4.47269357756998e-05	0.0918882044815065	50.58
1	331314	Secondary Smelting and Alloying of Aluminum	71	3.28181094745131e-05	0.347999596338418	60.4
1	331315	Aluminum Sheet, Plate, and Foil Manufacturing	76	0.000108378350341195	0.541980607025853	69.17
1	331318	Other Aluminum Rolling, Drawing, and Extruding	148	0.000155554741237611	0.535074854883826	68.95
1	331410	Nonferrous Metal (except Aluminum) Smelting and Refining	62	4.70903444636039e-05	0.693698113008321	75.18
1	331420	Copper Rolling, Drawing, Extruding, and Alloying	131	0.000165237833143393	0.720710750382264	76.24
1	331491	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding	130	8.91268951067138e-05	0.738006839520367	76.45
1	331492	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)	104	6.0112037962493e-05	0.743269554796143	76.56
1	331511	Iron Foundries	183	0.000190644476538362	-0.0902619195020401	44.88
1	331512	Steel Investment Foundries	61	6.33531202650799e-05	1.25003068359926	89.86
1	331513	Steel Foundries (except Investment)	104	6.35596317038288e-05	0.412320752172569	62.83
1	331523	Nonferrous Metal Die-Casting Foundries	127	0.000119604541608739	0.423985396341354	63.25
1	331524	Aluminum Foundries (except Die-Casting)	158	8.85417793635919e-05	0.602868385624949	71.81
1	331529	Other Nonferrous Metal Foundries (except Die-Casting)	124	7.61109380366788e-05	0.443086185290538	64.2
1	332111	Iron and Steel Forging	173	0.000116816637185629	0.360950696494923	60.72
1	332112	Nonferrous Forging	48	3.95641498069772e-05	1.73780510428374	96.94
1	332114	Custom Roll Forming	101	3.46595031366908e-05	0.593851072166108	71.38
1	332117	Powder Metallurgy Part Manufacturing	68	4.69010423114174e-05	1.26334702474254	90.29
1	332119	Metal Crown, Closure, and Other Metal Stamping (except Automotive)	265	0.000274648740678332	0.575435611374555	70.64
1	332215	Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing	150	5.58039798930367e-05	0.151456621085708	52.69
1	332216	Saw Blade and Handtool Manufacturing	268	0.00014785645371536	0.111110057720212	51.21
1	332311	Prefabricated Metal Building and Component Manufacturing	444	0.000219567550820916	-0.867110060411088	20.7
1	332312	Fabricated Structural Metal Manufacturing	644	0.000578054199202448	-0.48091024950337	31.68
1	332313	Plate Work Manufacturing	493	0.000282524857495061	-0.545398249757519	29.46
1	332321	Metal Window and Door Manufacturing	254	0.000392348787907498	0.0393542277181812	49.31
1	332322	Sheet Metal Work Manufacturing	581	0.000671385896659244	-0.288353281109109	37.59
1	332323	Ornamental and Architectural Metal Work Manufacturing	493	0.00026456409875276	-0.210055855624356	40.76
1	332410	Power Boiler and Heat Exchanger Manufacturing	150	0.000130716004299201	0.764900991710102	77.61
1	332420	Metal Tank (Heavy Gauge) Manufacturing	368	0.000222630803829025	-0.29609144554682	37.49
1	332431	Metal Can Manufacturing	126	0.000124405932559651	1.39514626814522	93.03
1	332439	Other Metal Container Manufacturing	171	8.41304655747612e-05	0.448499757177457	64.41
1	332510	Hardware Manufacturing	200	0.000131828871496903	0.500223154677354	67.16
1	332613	Spring Manufacturing	147	8.90580579604641e-05	1.25426965714423	89.97
1	332618	Other Fabricated Wire Product Manufacturing	303	0.000139624678309675	-0.0844847038460712	45.3
1	332710	Machine Shops	1029	0.00153859052868328	-1.05168666248103	17.21
1	332721	Precision Turned Product Manufacturing	286	0.000226674986171191	0.358126957665131	60.61
1	332722	Bolt, Nut, Screw, Rivet, and Washer Manufacturing	179	0.000206195935161925	0.908232769536573	81.41
1	332811	Metal Heat Treating	182	0.00010495943874413	1.18639627947184	88.6
1	332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers	450	0.000344076739099942	0.0577619537103457	49.74
1	332813	Electroplating, Plating, Polishing, Anodizing, and Coloring	324	0.000306078634370144	0.282544868725942	58.5
1	332911	Industrial Valve Manufacturing	161	0.000158445901380095	0.885500573078129	80.78
1	332912	Fluid Power Valve and Hose Fitting Manufacturing	165	0.0002069244616264	0.921447412199475	81.63
1	332913	Plumbing Fixture Fitting and Trim Manufacturing	94	6.63073811249601e-05	1.04048725275093	84.79
1	332919	Other Metal Valve and Pipe Fitting Manufacturing	124	8.55014720708997e-05	0.790619053029919	78.35
