geo_aggregation_level,from,to,weight
1,236117,237210,0.304801670146138
1,237110,237210,0.240943555181129
1,111000,237310,0.282926829268293
1,112000,237310,0.292941176470588
1,113310,237310,0.295537673738113
1,114210,237310,0.336363636363636
1,115112,237310,0.287595287595288
1,115115,237310,0.272777777777778
1,115210,237310,0.299315494710641
1,115310,237310,0.308080808080808
1,212321,237310,0.32020202020202
1,221122,237310,0.32907133243607
1,221310,237310,0.32639545884579
1,236115,237310,0.342783505154639
1,236117,237310,0.324242424242424
1,236118,237310,0.322190611664296
1,236220,237310,0.348484848484849
1,237110,237310,0.363100252737995
1,237130,237310,0.362626262626263
1,111000,237990,0.302439024390244
1,112000,237990,0.293529411764706
1,113310,237990,0.329919531821507
1,114210,237990,0.345679012345679
1,115112,237990,0.304227304227304
1,115115,237990,0.308333333333333
1,115210,237990,0.306160547604232
1,115310,237990,0.293868921775899
1,212321,237990,0.308668076109937
1,221122,237990,0.300134589502019
1,221310,237990,0.338694418164617
1,236115,237990,0.344716494845361
1,236117,237990,0.355949895615866
1,236118,237990,0.349217638691323
1,236220,237990,0.31923890063425
1,237110,237990,0.334456613310868
1,237130,237990,0.317124735729387
1,237210,237990,0.271670190274841
1,237310,237990,0.342424242424242
1,111000,238110,0.436585365853659
1,112000,238110,0.441764705882353
1,113310,238110,0.39063643013899
1,114210,238110,0.312849162011173
1,115112,238110,0.449064449064449
1,115115,238110,0.428333333333333
1,115210,238110,0.459863098942128
1,115310,238110,0.270550678371907
1,212321,238110,0.309656823623304
1,221122,238110,0.401076716016151
1,221310,238110,0.329608938547486
1,236115,238110,0.516752577319588
1,236117,238110,0.397446129289705
1,236118,238110,0.490042674253201
1,236220,238110,0.344772545889864
1,237110,238110,0.467677573822825
1,237130,238110,0.328810853950519
1,237210,238110,0.249002394253791
1,237310,238110,0.363926576217079
1,237990,238110,0.353551476456504
1,212321,238120,0.242178447276941
1,236117,238120,0.263048016701461
1,236220,238120,0.271351351351351
1,237110,238120,0.245998315080034
1,237130,238120,0.287964004499438
1,237310,238120,0.262626262626263
1,238110,238120,0.272944932162809
