geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,48199,Hardin County,145,-0.234936110874149,47.18,-12.569497591436,59.75
1,48201,Harris County,325,1.88024339370494,94.65,3.90005636072325,99.75
1,48203,Harrison County,170,-0.127299372916233,51.32,-7.05987941405263,91.66
1,48205,Hartley County,61,-1.45616842421006,4.1,-14.0146981286437,44.77
1,48207,Haskell County,97,-1.23019920467892,7.83,-13.0777264795909,54.41
1,48209,Hays County,225,1.26867078943222,87.53,-8.95891061250362,84.38
1,48211,Hemphill County,80,-0.870907884194892,19.15,-13.6344731339897,49.22
1,48213,Henderson County,183,-0.21632516856047,48.01,-3.41760963367678,97.3
1,48215,Hidalgo County,186,0.720527420849373,77.19,-8.20496447134289,87.81
1,48217,Hill County,140,-0.568658337657291,32.42,-9.465389611337,81.83
1,48219,Hockley County,87,-1.29344583431683,6.68,-16.1211972527452,13.55
1,48221,Hood County,200,0.0820071281381106,59.27,-2.71226668386108,97.96
1,48223,Hopkins County,149,0.132433449584901,61.09,-11.5039745067107,68.79
1,48225,Houston County,166,0.780062443999751,78.68,-5.57136999573886,94.85
1,48227,Howard County,137,-0.286958934220096,44.99,-10.8544571663086,73.69
1,48229,Hudspeth County,60,-0.379458454809734,41.27,-10.8862375188893,73.46
1,48231,Hunt County,169,0.401325171587137,69.74,-10.1097081999972,78.46
1,48233,Hutchinson County,86,-0.874503177016304,18.96,-16.0693064010654,14.22
1,48235,Irion County,54,-1.11826145908535,10.59,-13.3276785956524,52.12
1,48237,Jack County,98,-0.947318480285513,16.23,-13.6883314439391,48.2
1,48239,Jackson County,81,-1.17655669155618,9,-14.3065470828953,40.69
1,48241,Jasper County,126,-0.721462021109552,25.61,-14.2943144922381,40.88
1,48243,Jeff Davis County,68,-0.356886392956435,42.54,-13.2587817695598,52.69
1,48245,Jefferson County,213,0.999722168828002,82.66,-7.21096660877676,91.12
1,48247,Jim Hogg County,66,-1.12418451517952,10.47,-15.1075601703977,28.64
1,48249,Jim Wells County,90,-0.638991901809343,29.27,-16.1291433755267,13.46
1,48251,Johnson County,229,0.567327559087424,74.01,0.944022567049485,99.4
1,48253,Jones County,105,-1.06605656060532,12.15,-13.4885853348142,50.46
1,48255,Karnes County,82,-0.902745096342041,17.82,-13.5915226071915,49.73
1,48257,Kaufman County,202,0.913040463362976,81.07,-5.76810340969796,94.59
1,48259,Kendall County,195,0.569258363802015,74.13,-6.24312459431546,93.64
1,48261,Kenedy County,17,-0.802127943438753,21.99,-4.98152878721627,95.67
1,48263,Kent County,67,-0.0185000347480254,55.39,-15.0073796433465,30.26
1,48265,Kerr County,177,0.307368417771189,66.56,-11.0606024097345,72.29
1,48267,Kimble County,105,-0.583395739453318,31.63,-16.9104358227079,5.12
1,48269,King County,39,-0.0181562162762463,55.42,-10.8748348020559,73.53
1,48271,Kinney County,45,-0.918037321505411,17.18,-12.8360916929898,57.37
1,48273,Kleberg County,110,-0.579187433657495,31.78,-16.7628350838339,6.4
1,48275,Knox County,65,-1.87880153176531,0.48,-16.4630922731434,9.58
1,48277,Lamar County,149,0.0605381143857798,58.67,-11.2144683536183,71.01
1,48279,Lamb County,74,-1.55119976809813,2.93,-15.3018634109653,25.8
