geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	562111	Solid Waste Collection	421	0.00112619292193058	-0.656337845375889	26.74
3	562112	Hazardous Waste Collection	91	7.7849075979482e-05	0.304009344540861	68.82
3	562119	Other Waste Collection	193	0.000110414782584413	-0.192553851862537	47.04
3	562211	Hazardous Waste Treatment and Disposal	110	0.000254037751805421	-0.582106576241672	30.02
3	562212	Solid Waste Landfill	260	0.000231212501394813	-0.9902387458987	15.01
3	562213	Solid Waste Combustors and Incinerators	56	2.7213618484022e-05	1.17915202232287	87.42
3	562219	Other Nonhazardous Waste Treatment and Disposal	174	0.000123826553245383	-0.0200803051258256	54.86
3	562910	Remediation Services	199	0.00059524054004944	-0.134497909240241	50.11
3	562920	Materials Recovery Facilities	184	0.000154476292613033	-0.578735405465352	30.23
3	562991	Septic Tank and Related Services	412	0.000224437778918078	-0.7087934003688	24.84
3	562998	All Other Miscellaneous Waste Management Services	196	0.000147695833707444	-0.159701893582755	48.84
3	611110	Elementary and Secondary Schools	251	0.00751020722941018	-0.0939657506027286	52.11
3	611210	Junior Colleges	135	0.000184816264822559	-0.273284011958249	43.02
3	611310	Colleges, Universities, and Professional Schools	187	0.0110694261398187	-0.566660154973357	30.55
3	611410	Business and Secretarial Schools	52	2.08576553136391e-05	1.30793831559402	89.01
3	611420	Computer Training	70	0.00011624873072907	1.76800576396902	94.4
3	611430	Professional and Management Development Training	117	0.000332448997812608	1.27107417401914	88.37
3	611511	Cosmetology and Barber Schools	210	0.000110277108291914	-0.127374663852581	50.74
3	611512	Flight Training	130	0.000161107604368415	0.350093679988367	70.3
3	611513	Apprenticeship Training	160	9.6549834043966e-05	0.41738449044067	71.88
3	611519	Other Technical and Trade Schools	154	0.000374961672050611	0.398181174269595	71.46
3	611610	Fine Arts Schools	213	0.00100360543731769	0.715135473911903	79.18
3	611620	Sports and Recreation Instruction	196	0.00141939900995204	1.54003114331068	92.39
3	611630	Language Schools	55	0.000121818803146436	2.73146619491173	98.52
3	611691	Exam Preparation and Tutoring	68	0.000768440536442374	1.89202899232958	95.56
3	611692	Automobile Driving Schools	243	0.000151218001023884	-0.121736635268143	50.95
3	611699	All Other Miscellaneous Schools and Instruction	192	0.00063269942046695	1.44263737371583	90.8
3	611710	Educational Support Services	109	0.00141557281190633	1.75762311333809	94.19
3	621111	Offices of Physicians (except Mental Health Specialists)	358	0.0168147177765345	-0.376210714817103	38.37
3	621112	Offices of Physicians, Mental Health Specialists	190	0.000565147234280642	0.623524753953481	76.74
3	621210	Offices of Dentists	336	0.00629924136187318	0.0938950268892788	59.94
3	621310	Offices of Chiropractors	472	0.000963697101779461	-0.779458771872214	21.25
3	621320	Offices of Optometrists	519	0.000938296194813346	-1.28854786654981	6.87
3	621330	Offices of Mental Health Practitioners (except Physicians)	210	0.00173614166556202	0.647944445080664	77.59
3	621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists	318	0.00295802395720844	-0.586833106764777	29.7
3	621391	Offices of Podiatrists	309	0.000193994550989177	-0.323510327281787	40.7
3	621399	Offices of All Other Miscellaneous Health Practitioners	239	0.00120716261520671	0.415873525576764	71.78
